ticker,date,expiration,dte,option_type,strike,market_iv,market_mid,bid,ask,volume,open_interest,spot,rate,dividend,updated_at,source
QQQ,2026-08-05,2026-08-10,5,put,721,0.186488,6.495,6.46,6.53,875,160,720.33,3.78,0.44,2026-08-05T19:37:27.57195652Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,put,722,0.185445,6.99,6.96,7.02,869,374,720.33,3.78,0.44,2026-08-05T19:37:27.517592401Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,put,723,0.184402,7.505,7.47,7.54,1174,663,720.33,3.78,0.44,2026-08-05T19:37:27.683226693Z,robinhood_realtime_quote
QQQ,2026-08-05,2026-08-10,5,put,724,0.183508,8.06,8.02,8.1,1744,499,720.33,3.78,0.44,2026-08-05T19:37:27.684063443Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,call,7720,0.108448,51.55,51.4,51.7,148,1004,7739.41,3.78,1.12,2026-08-05T19:37:27.60427527Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,call,7725,0.108145,48.55,48.4,48.7,108,1141,7739.41,3.78,1.12,2026-08-05T19:37:26.137677939Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,call,7730,0.107708,45.6,45.5,45.7,65,51,7739.41,3.78,1.12,2026-08-05T19:37:27.700318355Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,call,7735,0.107273,42.75,42.6,42.9,47,122,7739.41,3.78,1.12,2026-08-05T19:37:27.604851047Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,call,7740,0.107112,40.1,40,40.2,410,186,7739.41,3.78,1.12,2026-08-05T19:37:26.719333067Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,call,7745,0.106668,37.45,37.3,37.6,132,93,7739.41,3.78,1.12,2026-08-05T19:37:25.93041487Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,call,7750,0.106354,34.95,34.8,35.1,466,1452,7739.41,3.78,1.12,2026-08-05T19:37:25.004290569Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,call,7755,0.10603,32.55,32.4,32.7,200,386,7739.41,3.78,1.12,2026-08-05T19:37:27.146193995Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,call,7760,0.105695,30.25,30.1,30.4,354,149,7739.41,3.78,1.12,2026-08-05T19:37:27.263614064Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,put,7720,0.113404,30.65,30.5,30.8,138,138,7739.41,3.78,1.12,2026-08-05T19:37:27.642129774Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,put,7725,0.112918,32.6,32.5,32.7,160,89,7739.41,3.78,1.12,2026-08-05T19:37:27.641207631Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,put,7730,0.11245,34.65,34.5,34.8,134,106,7739.41,3.78,1.12,2026-08-05T19:37:26.926571114Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,put,7735,0.112135,36.85,36.7,37,81,21,7739.41,3.78,1.12,2026-08-05T19:37:27.700223134Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,put,7740,0.111552,39.05,38.9,39.2,199,111,7739.41,3.78,1.12,2026-08-05T19:37:27.451676593Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,put,7745,0.111252,41.45,41.3,41.6,271,41,7739.41,3.78,1.12,2026-08-05T19:37:26.137677939Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,put,7750,0.110955,43.95,43.8,44.1,161,85,7739.41,3.78,1.12,2026-08-05T19:37:26.62419193Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,put,7755,0.11066,46.55,46.4,46.7,50,21,7739.41,3.78,1.12,2026-08-05T19:37:26.175999641Z,robinhood_realtime_quote
SPX,2026-08-05,2026-08-10,5,put,7760,0.110507,49.3,49.2,49.4,93,15,7739.41,3.78,1.12,2026-08-05T19:37:27.700223134Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,call,768,0.112578,6.27,6.23,6.31,304,712,771.55,3.78,1.11,2026-08-05T19:37:27.451074869Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,call,769,0.111982,5.615,5.57,5.66,838,2496,771.55,3.78,1.11,2026-08-05T19:37:27.602636072Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,call,770,0.110492,4.98,4.95,5.01,1631,1646,771.55,3.78,1.11,2026-08-05T19:37:27.446814729Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,call,771,0.109747,4.395,4.38,4.41,1776,1015,771.55,3.78,1.11,2026-08-05T19:37:27.333058887Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,call,772,0.108853,3.86,3.85,3.87,2633,737,771.55,3.78,1.11,2026-08-05T19:37:27.604696037Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,call,773,0.108108,3.36,3.35,3.37,1387,850,771.55,3.78,1.11,2026-08-05T19:37:27.742113568Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,call,774,0.107512,2.905,2.9,2.91,1383,903,771.55,3.78,1.11,2026-08-05T19:37:27.728145951Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,call,775,0.106767,2.49,2.48,2.5,3478,1419,771.55,3.78,1.11,2026-08-05T19:37:27.618744511Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,call,776,0.106171,2.12,2.11,2.13,2076,1820,771.55,3.78,1.11,2026-08-05T19:37:27.716748253Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,put,768,0.114962,2.5,2.49,2.51,1604,649,771.55,3.78,1.11,2026-08-05T19:37:27.830612744Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,put,769,0.113919,2.835,2.83,2.84,1106,1670,771.55,3.78,1.11,2026-08-05T19:37:27.672300652Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,put,770,0.112578,3.21,3.2,3.22,5918,954,771.55,3.78,1.11,2026-08-05T19:37:27.685406417Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,put,771,0.111833,3.63,3.62,3.64,3689,701,771.55,3.78,1.11,2026-08-05T19:37:27.147148196Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,put,772,0.110939,4.09,4.08,4.1,4348,637,771.55,3.78,1.11,2026-08-05T19:37:27.74212165Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,put,773,0.110343,4.595,4.57,4.62,3050,242,771.55,3.78,1.11,2026-08-05T19:37:27.563565896Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,put,774,0.109747,5.145,5.1,5.19,1888,196,771.55,3.78,1.11,2026-08-05T19:37:26.965379827Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,put,775,0.109151,5.735,5.69,5.78,2418,138,771.55,3.78,1.11,2026-08-05T19:37:26.003832592Z,robinhood_realtime_quote
SPY,2026-08-05,2026-08-10,5,put,776,0.108555,6.365,6.31,6.42,1373,246,771.55,3.78,1.11,2026-08-05T19:37:27.454566077Z,robinhood_realtime_quote
